candidate_id,name_tr,name_en,category_tr,target_state,preferred_source,exists_in_current_catalog,existing_food_id,existing_food_name,existing_match_confidence,original_match_status,usda_food_id,usda_name_en,usda_calories_100g,usda_protein_100g,usda_carbs_100g,usda_fat_100g,usda_fiber_100g,usda_sugar_100g,usda_sodium_mg_100g,usda_score,state_match,base_food_match,category_match,variant_warning,missing_nutrient_warning,audit_decision,audit_note
wl_159,Ispanak (Haşlanmış),Spinach boiled,Sebze,boiled,USDA,true,17,Ispanak (Çiğ),medium,can_update_from_usda,5367,Boiled Spinach without Salt,23,2.97,3.75,0.26,2.4,0.43,70,60,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Ispanak (Çiğ)) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_160,Brokoli (Haşlanmış),Broccoli boiled,Sebze,boiled,USDA,true,69,Brokoli (Haşlanmış),exact,can_update_from_usda,2339,Boiled without Salt Broccoli,35,2.38,7.18,0.41,3.3,1.39,41,60,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Brokoli (Haşlanmış)) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_161,Karnabahar (Haşlanmış),Cauliflower boiled,Sebze,boiled,USDA,true,70,Karnabahar (Haşlanmış),exact,can_update_from_usda,2638,"Cauliflower, Boiled without Salt",23,1.84,4.11,0.45,2.3,2.08,15,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Karnabahar (Haşlanmış)) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_162,Bezelye (Haşlanmış),Green peas boiled,Sebze,boiled,USDA,true,78,Bezelye (Haşlanmış),exact,no_source_match,,,,,,,,,,,,,,,,manual_review_existing_food,Katalogda mevcut; USDA adayı yok veya zayıf. Manuel doğrulama gerekli.
wl_163,Mısır (Haşlanmış),Sweet corn boiled,Sebze,boiled,USDA,true,77,Mısır (Haşlanmış),exact,no_source_match,,,,,,,,,,,,,,,,manual_review_existing_food,Katalogda mevcut; USDA adayı yok veya zayıf. Manuel doğrulama gerekli.
wl_164,Patlıcan (Izgara),Eggplant grilled,Sebze,grilled,USDA,true,72,Patlıcan (Izgara),exact,no_source_match,,,,,,,,,,,,,,,,manual_review_existing_food,Katalogda mevcut; USDA adayı yok veya zayıf. Manuel doğrulama gerekli.
wl_165,Kabak (Izgara),Zucchini grilled,Sebze,grilled,USDA,true,71,Kabak,medium,no_source_match,,,,,,,,,,,,,,,,manual_review_existing_food,Katalogda mevcut; USDA adayı yok veya zayıf. Manuel doğrulama gerekli.
wl_166,Biber (Kırmızı Çiğ),Red bell pepper raw,Sebze,raw,USDA,true,163,Biber (Çiğ),strong,can_update_from_usda,6231,"Red Bell Pepper, Raw",31.3256,0.8956,6.6532,0.1256,1.158,0,0,90,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Biber (Çiğ)) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_167,Biber (Yeşil Çiğ),Green bell pepper raw,Sebze,raw,USDA,true,163,Biber (Çiğ),strong,can_update_from_usda,6448,"Green Bell Pepper, Raw",22.9291,0.715,4.7781,0.1063,0.9419,0,0,90,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Biber (Çiğ)) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_168,Salatalık (Çiğ),Cucumber raw,Sebze,raw,USDA,true,66,Salatalık,medium,can_update_from_usda,6324,"Cucumber, Raw",15.9075,0.625,2.9525,0.1775,0,0,1.515,90,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Salatalık) ile USDA eşleşmesi onaylandı; güncelleme adayı.
